Gene_Model	CornCyc_EC	UniProt_EC
GRMZM2G064302_P01	4.2.1.11	4.2.1.11
GRMZM2G132093_P01	2.5.1.18	2.5.1.18
GRMZM2G098520_P01	4.1.1.39	4.1.1.39
GRMZM2G023289_P01	5.4.2.2	5.4.2.2
GRMZM2G169160_P03	6.1.1.11	6.1.1.11
GRMZM2G326111_P01	5.2.1.8	5.2.1.8
GRMZM2G001696_P02	4.1.1.49	4.1.1.49
GRMZM2G058310_P01	3.2.1.2	3.2.1.2
GRMZM2G568636_P01	1.7.1.1	1.7.1.1
GRMZM2G048371_P03	4.2.1.11	4.2.1.11
GRMZM2G180625_P02	1.2.1.12	1.2.1.12
GRMZM2G027835_P01	4.2.1.52	4.2.1.52
GRMZM2G019597_P03	2.1.1.33	2.1.1.33
GRMZM2G337113_P02	1.2.1.13	1.2.1.13
GRMZM2G099363_P02	2.1.1.104	2.1.1.104
GRMZM2G000236_P01	1.3.1.42	1.3.1.42
GRMZM2G035268_P03	1.2.1.9	1.2.1.9
GRMZM5G851405_P02	2.3.1.48	2.3.1.48
GRMZM2G133213_P01	1.6.2.2	1.6.2.2
GRMZM2G025992_P01	1.15.1.1	1.15.1.1
GRMZM2G122479_P02	1.1.1.40	1.1.1.40
GRMZM2G079348_P02	1.11.1.6	1.11.1.6
GRMZM2G098290_P02	6.3.1.2	6.3.1.2
GRMZM2G170101_P03	2.4.2.7	2.4.2.7
GRMZM5G875502_P02	2.1.1.43	2.1.1.43
GRMZM2G154397_P04	4.1.1.50	4.1.1.50
GRMZM2G091481_P01	5.3.4.1	5.3.4.1
GRMZM2G325575_P01	1.16.3.1	1.16.3.1
GRMZM2G157263_P01	1.6.2.2	1.6.2.2
GRMZM2G116273_P01	2.5.1.18	2.5.1.18
GRMZM2G139300_P01	3.2.1.26	3.2.1.26
GRMZM5G875238_P01	2.4.1.14	2.4.1.14
GRMZM2G082087_P02	1.3.1.42	1.3.1.42
GRMZM2G073054_P02	2.4.1.18	2.4.1.18
GRMZM2G065083_P01	5.3.1.9	5.3.1.9
GRMZM2G024131_P02	2.4.1.121	2.4.1.121
GRMZM2G129761_P01	1.11.1.15	1.11.1.15
GRMZM2G160526_P01	3.2.1.67	3.2.1.67
GRMZM2G143602_P01	2.7.11.1	2.7.11.1
GRMZM2G090568_P02	1.11.1.6	1.11.1.6
GRMZM2G157820_P02	2.1.1.43	2.1.1.43
GRMZM2G071630_P01	1.2.1.12	1.2.1.12
GRMZM2G152470_P01	2.1.1.10	2.1.1.10
GRMZM2G088212_P01	1.11.1.6	1.11.1.6
GRMZM2G058522_P09	1.15.1.1	1.15.1.1
GRMZM2G055489_P01	3.1.3.24	3.1.3.24
GRMZM2G059991_P01	1.15.1.1	1.15.1.1
GRMZM2G119852_P01	6.3.4.4	6.3.4.4
GRMZM2G033208_P03	2.2.1.1	2.2.1.1
GRMZM2G025592_P01	2.1.1.37	2.1.1.37
GRMZM2G032628_P01	2.4.1.18	2.4.1.18
AC197705.4_FGP001	4.1.1.1	4.1.1.1
GRMZM2G148281_P01	1.3.1.42	1.3.1.42
GRMZM2G051943_P01	3.2.1.14	3.2.1.14
GRMZM2G158043_P02	3.2.1.41	3.2.1.41
GRMZM2G071714_P01	2.8.1.8	2.8.1.8
GRMZM2G126261_P01	1.11.1.7	1.11.1.7
GRMZM2G039982_P01	2.8.1.8	2.8.1.8
GRMZM2G067299_P02	2.7.1.158	2.7.1.158
GRMZM2G345717_P01	1.14.11.19	1.14.11.19
GRMZM5G833389_P02	5.4.2.1	5.4.2.1
GRMZM2G133475_P01	1.11.1.7	1.11.1.7
GRMZM2G016890_P01	3.2.1.21	3.2.1.21
GRMZM2G156712_P01	1.3.1.42	1.3.1.42
GRMZM2G039166_P01	2.1.1.10	2.1.1.10
GRMZM2G112240_P01	3.1.3.16	3.1.3.16
GRMZM2G098039_P01	2.1.1.12	2.1.1.12
GRMZM5G879235_P01	2.7.7.6	2.7.7.6
GRMZM2G155974_P01	6.3.2.3	6.3.2.3
GRMZM2G178415_P06	1.4.1.3	1.4.1.3
GRMZM2G054559_P01	3.1.4.4	3.1.4.4
GRMZM2G083841_P01	4.1.1.31	4.1.1.31
GRMZM5G884538_P01	1.9.3.1	1.9.3.1
GRMZM2G152908_P01	2.4.1.13	2.4.1.13
GRMZM2G043484_P01	2.1.1.43	2.1.1.43
GRMZM2G168681_P01	2.5.1.1	2.5.1.1
GRMZM2G429899_P01	2.7.7.27	2.7.7.27
GRMZM2G061928_P03	3.6.1.1	3.6.1.1
GRMZM2G052935_P01	2.7.2.4	2.7.2.4
GRMZM2G129513_P01	1.1.1.82	1.1.1.82
GRMZM2G097641_P01	3.1.3.24	3.1.3.24
GRMZM2G085381_P01	4.2.1.20	4.2.1.20
GRMZM2G394259_P01	3.2.1.67	3.2.1.67
GRMZM5G824600_P03	1.1.1.1	1.1.1.1
GRMZM2G347056_P01	1.5.1.20	1.5.1.20
GRMZM2G454952_P01	1.14.99.30	1.14.99.30
GRMZM2G005990_P01	2.1.1.45	2.1.1.45
AC233893.1_FGP001	2.1.1.10	2.1.1.10
GRMZM2G057823_P01	4.1.2.13	4.1.2.13
GRMZM2G127948_P01	2.1.1.104	2.1.1.104
GRMZM2G036609_P02	1.4.7.1	1.4.7.1
GRMZM2G050514_P03	6.3.1.2	6.3.1.2
GRMZM2G168474_P01	2.4.1.215	2.4.1.215
GRMZM5G872068_P01	6.3.1.2	6.3.1.2
GRMZM2G155242_P01	5.5.1.4	5.5.1.4
GRMZM2G154489_P02	2.7.11.1	2.7.11.1
GRMZM2G104394_P01	1.11.1.7	1.11.1.7
GRMZM2G086845_P01	2.7.1.4	2.7.1.4
GRMZM2G044237_P03	2.3.1.35	2.3.1.35
GRMZM2G109383_P01	5.4.2.2	5.4.2.2
GRMZM2G152757_P02	3.1.3.7	3.1.3.7
GRMZM2G085019_P01	1.1.1.40	1.1.1.40
GRMZM2G106303_P01	1.3.1.42	1.3.1.42
GRMZM2G442658_P04	1.1.1.1	1.1.1.1
GRMZM2G320175_P01	3.2.1.67	3.2.1.67
GRMZM2G040638_P01	1.11.1.7	1.11.1.7
GRMZM2G456626_P01	2.7.1.159	2.7.1.159
GRMZM2G110511_P01	2.4.1.215	2.4.1.215
