MaizeHit	UniProt EC number
AC197705.4_FGP001	4.1.1.1
AC233893.1_FGP001	2.1.1.10
GRMZM2G001696_P02	4.1.1.49
GRMZM2G005024_P01	4.2.1.20
GRMZM2G005310_P02	2.1.1.37
GRMZM2G005887_P05	2.5.1.47
GRMZM2G005990_P01	1.5.1.3; 2.1.1.45
GRMZM2G008247_P01	3.2.1.182; 3.2.1.21
GRMZM2G008327_P01	2.7.11.22; 2.7.11.23
GRMZM2G011746_P01	5.2.1.12
GRMZM2G014392_P01	1.13.11.51
GRMZM2G016890_P01	3.2.1.182; 3.2.1.21
GRMZM2G019597_P03	2.1.1.33
GRMZM2G020295_P02	3.6.1.19
GRMZM2G022192_P02	6.3.5.7
GRMZM2G023194_P01	1.10.2.2
GRMZM2G023289_P01	5.4.2.2
GRMZM2G024104_P01	6.3.1.2
GRMZM2G024131_P02	2.4.1.121
GRMZM2G025441_P01	1.11.1.7
GRMZM2G025592_P01	2.1.1.37
GRMZM2G025992_P01	1.15.1.1
GRMZM2G027835_P01	4.3.3.7
GRMZM2G032628_P01	2.4.1.18
GRMZM2G033208_P03	2.2.1.1
GRMZM2G034152_P01	1.5.3.14; 1.5.3.15
GRMZM2G035268_P03	1.2.1.9
GRMZM2G036464_P01	6.3.1.2
GRMZM2G036609_P02	1.4.7.1
GRMZM2G037104_P01	2.3.1.51
GRMZM2G038821_P01	4.1.1.1
GRMZM2G039166_P01	2.1.1.10
GRMZM2G039982_P01	2.8.1.8
GRMZM2G039993_P01	2.1.1.277
GRMZM2G040638_P01	1.11.1.7
GRMZM2G043484_P01	2.1.1.43
GRMZM2G044237_P03	2.3.1.35; 2.3.1.1
GRMZM2G046804_P01	1.2.1.12
GRMZM2G048371_P03	4.2.1.11
GRMZM2G049538_P01	4.2.3.49; 4.2.3.47; 3.1.7.6
GRMZM2G050514_P03	6.3.1.2
GRMZM2G051637_P01	2.7.11.1
GRMZM2G051677_P02	2.7.1.4
GRMZM2G051943_P01	3.2.1.14
GRMZM2G054559_P01	3.1.4.4
GRMZM2G055489_P01	3.1.3.24
GRMZM2G057823_P01	4.1.2.13
GRMZM2G058310_P01	3.2.1.2
GRMZM2G058522_P09	1.15.1.1
GRMZM2G059991_P01	1.15.1.1
GRMZM2G061928_P03	3.6.1.1
GRMZM2G063536_P01	3.2.2.22
GRMZM2G064302_P01	4.2.1.11
GRMZM2G065083_P01	5.3.1.9
GRMZM2G071630_P01	1.2.1.12
GRMZM2G071714_P01	2.8.1.8
GRMZM2G074309_P01	4.2.3.102
GRMZM2G079348_P02	1.11.1.6
GRMZM2G079381_P01	1.7.7.1
GRMZM2G080501_P01	3.5.99.2
GRMZM2G083841_P01	4.1.1.31
GRMZM2G084521_P03	5.2.1.8
GRMZM2G085019_P01	1.1.1.40
GRMZM2G085054_P02	2.4.1.202
GRMZM2G085381_P01	4.1.2.8; 4.2.1.20
GRMZM2G085661_P01	1.14.13.137
GRMZM2G086845_P01	2.7.1.4
GRMZM2G087186_P02	4.1.1.1
GRMZM2G088212_P01	1.11.1.6
GRMZM2G089713_P02	2.4.1.13
GRMZM2G090068_P01	1.1.1.193
GRMZM2G090338_P01	1.8.7.1
GRMZM2G090568_P02	1.11.1.6
GRMZM2G091481_P01	5.3.4.1
GRMZM2G094558_P01	2.7.1.50
GRMZM2G097457_P02	2.7.9.1
GRMZM2G097641_P01	3.1.3.24
GRMZM2G098039_P01	2.1.1.12
GRMZM2G098290_P02	6.3.1.2
GRMZM2G098346_P01	1.1.1.1
GRMZM2G098520_P01	4.1.1.39
GRMZM2G099231_P01	2.4.2.30
GRMZM2G099363_P02	2.1.1.104
GRMZM2G100639_P01	3.6.4.12
GRMZM2G101698_P02	2.8.1.8
GRMZM2G102183_P02	2.3.3.9
GRMZM2G104394_P01	1.11.1.7
GRMZM2G104538_P01	2.7.1.182
GRMZM2G104546_P02	2.7.2.4; 1.1.1.3
GRMZM2G109383_P01	5.4.2.2
GRMZM2G110511_P01	2.4.1.215
GRMZM2G112240_P01	3.1.3.16
GRMZM2G113408_P01	3.6.3.14
GRMZM2G116273_P01	2.5.1.18
GRMZM2G116966_P01	2.1.1.277
GRMZM2G117198_P02	2.5.1.6
GRMZM2G117240_P01	2.1.1.10
GRMZM2G117319_P01	4.2.3.101
GRMZM2G119852_P01	6.3.4.4
GRMZM2G122793_P01	1.8.7.2
GRMZM2G124455_P01	1.15.1.1
GRMZM2G126261_P01	1.11.1.7
GRMZM2G127087_P01	5.5.1.17
GRMZM2G127087_P02	5.5.1.17
GRMZM2G127948_P01	2.1.1.104
GRMZM2G129513_P01	1.1.1.82
GRMZM2G129761_P01	1.11.1.15
GRMZM2G131286_P01	2.7.11.32; 2.7.4.27
GRMZM2G132093_P01	2.5.1.18
GRMZM2G133475_P01	1.11.1.7
GRMZM2G134747_P01	4.2.1.104
GRMZM2G139300_P01	3.2.1.26
