Gene_Model	MaizeCyc_EC	UniProt_EC
GRMZM2G025441_P01	1.11.1.7	1.11.1.7
GRMZM2G025592_P01	2.1.1.37	2.1.1.37
GRMZM2G454952_P01	1.14.99.30	1.14.99.30
GRMZM5G851405_P02	2.3.1.48	2.3.1.48
GRMZM2G179092_P01	4.2.3.47	4.2.3.47
GRMZM2G039166_P01	2.1.1.10	2.1.1.10
GRMZM2G104394_P01	1.11.1.7	1.11.1.7
GRMZM2G101698_P02	2.8.1.8	2.8.1.8
GRMZM2G347056_P01	1.5.1.20	1.5.1.20
GRMZM2G133475_P01	1.11.1.7	1.11.1.7
GRMZM2G148281_P01	1.3.1.42	1.3.1.42
GRMZM2G040638_P01	1.11.1.7	1.11.1.7
GRMZM2G063536_P01	3.2.2.22	3.2.2.22
GRMZM2G326111_P01	5.2.1.8	5.2.1.8
GRMZM2G129761_P01	1.11.1.15	1.11.1.15
GRMZM2G044237_P03	2.3.1.35	2.3.1.35
GRMZM2G084462_P01	2.5.1.27	2.5.1.27
GRMZM2G170101_P03	2.4.2.7	2.4.2.7
GRMZM2G109383_P01	5.4.2.2	5.4.2.2
GRMZM2G122793_P01	1.8.7.2	1.8.7.2
GRMZM2G080001_P01	2.7.11.1	2.7.11.1
GRMZM2G361593_P01	2.7.1.64	2.7.1.64
GRMZM2G052935_P01	2.7.2.4	2.7.2.4
GRMZM2G027835_P01	4.2.1.52	4.2.1.52
AC233893.1_FGP001	2.1.1.10	2.1.1.10
GRMZM2G160526_P01	3.2.1.67	3.2.1.67
GRMZM2G039982_P01	2.8.1.8	2.8.1.8
GRMZM2G133213_P01	1.6.2.2	1.6.2.2
GRMZM5G875502_P02	2.1.1.43	2.1.1.43
GRMZM2G117240_P01	2.1.1.10	2.1.1.10
GRMZM2G005990_P01	1.5.1.3	1.5.1.3
GRMZM2G005990_P01	2.1.1.45	2.1.1.45
GRMZM2G152470_P01	2.1.1.10	2.1.1.10
GRMZM2G023289_P01	5.4.2.2	5.4.2.2
GRMZM2G169160_P03	6.1.1.11	6.1.1.11
GRMZM2G005310_P02	2.1.1.37	2.1.1.37
GRMZM2G119852_P01	6.3.4.4	6.3.4.4
GRMZM2G098039_P01	2.1.1.12	2.1.1.12
GRMZM2G127948_P01	2.1.1.104	2.1.1.104
GRMZM2G419267_P01	2.4.2.38	2.4.2.38
GRMZM2G071714_P01	2.8.1.8	2.8.1.8
GRMZM2G124455_P01	1.15.1.1	1.15.1.1
