CommonMatches	UniProt EC number
AC233893.1_FGP001	2.1.1.10
GRMZM2G005310_P02	2.1.1.37
GRMZM2G005990_P01	1.5.1.3; 2.1.1.45
GRMZM2G020295_P02	3.6.1.19
GRMZM2G023289_P01	5.4.2.2
GRMZM2G025441_P01	1.11.1.7
GRMZM2G025592_P01	2.1.1.37
GRMZM2G027835_P01	4.3.3.7
GRMZM2G039166_P01	2.1.1.10
GRMZM2G039982_P01	2.8.1.8
GRMZM2G039993_P01	2.1.1.277
GRMZM2G040638_P01	1.11.1.7
GRMZM2G044237_P03	2.3.1.35; 2.3.1.1
GRMZM2G063536_P01	3.2.2.22
GRMZM2G071714_P01	2.8.1.8
GRMZM2G074309_P01	4.2.3.102
GRMZM2G079381_P01	1.7.7.1
GRMZM2G084521_P03	5.2.1.8
GRMZM2G090068_P01	1.1.1.193
GRMZM2G090338_P01	1.8.7.1
GRMZM2G094558_P01	2.7.1.50
GRMZM2G098039_P01	2.1.1.12
GRMZM2G101698_P02	2.8.1.8
GRMZM2G104394_P01	1.11.1.7
GRMZM2G104538_P01	2.7.1.182
GRMZM2G109383_P01	5.4.2.2
GRMZM2G116966_P01	2.1.1.277
GRMZM2G117198_P02	2.5.1.6
GRMZM2G117240_P01	2.1.1.10
GRMZM2G117319_P01	4.2.3.101
GRMZM2G119852_P01	6.3.4.4
GRMZM2G122793_P01	1.8.7.2
GRMZM2G124455_P01	1.15.1.1
GRMZM2G127087_P01	5.5.1.17
GRMZM2G127948_P01	2.1.1.104
GRMZM2G129761_P01	1.11.1.15
GRMZM2G133475_P01	1.11.1.7
GRMZM2G134747_P01	4.2.1.104
GRMZM2G141535_P01	1.2.3.7
GRMZM2G152470_P01	2.1.1.10
GRMZM2G157836_P01	2.7.7.80; 2.8.1.11
GRMZM2G160526_P01	3.2.1.67
GRMZM2G160842_P02	2.7.7.80; 2.8.1.11
GRMZM2G179092_P01	4.2.3.47
GRMZM2G300133_P01	2.7.11.1
GRMZM2G320099_P01	3.5.4.26
GRMZM2G326111_P01	5.2.1.8
GRMZM2G347056_P01	1.5.1.20
GRMZM2G361593_P01	2.7.1.64
GRMZM2G421857_P04	3.6.3.14
GRMZM2G454952_P01	1.3.5.6
GRMZM5G844143_P01	1.10.3.9
GRMZM5G847530_P01	2.4.99.18
GRMZM5G851405_P02	2.3.1.48
GRMZM5G875502_P02	2.1.1.43
