BestHit	Merged EC
AC149475.2	3.4.25.1
AC149828.2	3.4.25.1
AC155376.2	3.2.1.21
AC188838.3	2.4.2.14
AC190807.2	3.2.2.22
AC194852.3	4.2.2.2
AC195785.3	2.7.11.1
AC196475.3	2.1.1.68
AC197672.3	6.4.1.2
AC197705.4	4.1.1.1
AC197758.3	1.11.1.7
AC199526.5	2.5.1.6
AC199765.4	3.2.1.4
AC202707.3	3.4.19.12
AC203408.4	3.2.1.4
AC203761.3	5.99.1.2
AC205154.3	1.11.1.7
AC205413.4	1.11.1.7
AC209374.4	4.6.1.12
AC210003.2	1.11.1.7
AC210669.3	2.4.1.207
AC211164.5	1.11.1.7
AC211394.4	3.1.3.2
AC213521.3	1.2.1.70
AC214350.3	1.10.2.2
AC215260.3	4.1.1.3;4.1.3.17
AC215690.3	1.14.19.2
AC217947.4	1.6.2.4
AC217975.3	2.7.11.2
AC230013.2	1.11.1.7
AC233851.1	4.2.2.2
AC233878.1	3.6.3.8
AC233893.1	2.1.1.10
AC233922.1	1.5.1.5;3.5.4.9
AC233960.1	1.10.3.11
AC233961.1	2.1.1.43
AC234152.1	3.2.1.23
AC234185.1	6.3.4.2
GRMZM2G000107	1.11.1.7
GRMZM2G000236	1.3.1.42
GRMZM2G000620	2.7.11.1
GRMZM2G001265	2.3.1.225
GRMZM2G001524	2.7.4.6
GRMZM2G001645	1.1.1.34
GRMZM2G001696	4.1.1.49
GRMZM2G001755	3.4.21.92
GRMZM2G002100	2.7.11.24
GRMZM2G002523	2.4.1.12
GRMZM2G002807	5.3.1.1
GRMZM2G002879	3.4.11.18
GRMZM2G003379	3.2.1.4
GRMZM2G003724	2.7.2.3
GRMZM2G003883	2.7.1.40
GRMZM2G004320	2.1.1.100
GRMZM2G004382	1.1.1.86
GRMZM2G004528	5.5.1.4
GRMZM2G004534	2.7.1.40
GRMZM2G004582	3.1.3.16
GRMZM2G004699	2.4.1.207
GRMZM2G004932	2.7.1.11
GRMZM2G004984	1.11.1.7
GRMZM2G005024	4.2.1.20
GRMZM2G005080	3.4.25.1
GRMZM2G005310	2.1.1.37
GRMZM2G005493	5.3.1.5
GRMZM2G005562	4.2.2.2
GRMZM2G005710	1.8.5.1
GRMZM2G005771	4.1.1.3;4.1.3.17
GRMZM2G005834	2.3.1.225
GRMZM2G005887	2.5.1.47
GRMZM2G005990	1.5.1.3;2.1.1.45
GRMZM2G006727	1.11.1.7
GRMZM2G006894	3.6.3.6
GRMZM2G006977	3.6.3.8
GRMZM2G007681	2.7.7.6
GRMZM2G007736	3.1.3.12
GRMZM2G007848	2.7.11.24
GRMZM2G008247	3.2.1.182;3.2.1.21
GRMZM2G008327	2.7.11.22;2.7.11.23
GRMZM2G008593	3.1.1.11
GRMZM2G008623	3.4.25.1
GRMZM2G008714	2.7.1.40
GRMZM2G008792	1.5.99.12
GRMZM2G009025	3.2.1.4
GRMZM2G009091	2.4.2.29
GRMZM2G009166	2.7.11.1
GRMZM2G009591	2.7.1.11
GRMZM2G009593	3.1.3.16
GRMZM2G009785	5.5.1.24
GRMZM2G009808	4.2.1.3
GRMZM2G010011	2.3.1.225
GRMZM2G010555	1.10.3.11
GRMZM2G010640	1.11.1.7
GRMZM2G010775	3.1.3.48
GRMZM2G011651	2.4.1.12
GRMZM2G011708	1.11.1.7
GRMZM2G011746	5.2.1.12
GRMZM2G011858	1.18.1.2
GRMZM2G011919	2.7.11.1
GRMZM2G012263	1.11.1.7
GRMZM2G012328	3.1.1.11
GRMZM2G012404	6.1.1.1
GRMZM2G012544	2.3.1.225
GRMZM2G013236	2.7.11.1
GRMZM2G013331	3.2.2.22
GRMZM2G013478	2.7.4.6
GRMZM2G013538	3.2.1.4
GRMZM2G013794	2.1.1.43
GRMZM2G013811	2.4.1.25
GRMZM2G014193	3.1.3.2
GRMZM2G014392	1.13.11.51
GRMZM2G014729	3.1.3.12
GRMZM2G014805	3.4.19.12
GRMZM2G014813	1.1.1.31
GRMZM2G014833	2.7.11.1
GRMZM2G014917	3.4.19.12
GRMZM2G014934	2.7.2.3
GRMZM2G015132	2.3.1.12
GRMZM2G015280	1.11.1.7
GRMZM2G015295	3.3.1.1
GRMZM2G015892	4.1.2.8
GRMZM2G016180	1.9.3.1
GRMZM2G016241	2.5.1.18
GRMZM2G016323	3.4.19.12
GRMZM2G016511	3.4.25.1
GRMZM2G016805	2.3.1.225
GRMZM2G016890	3.2.1.182;3.2.1.21
GRMZM2G016930	3.1.3.16
GRMZM2G017086	3.4.19.12
GRMZM2G017110	4.1.1.15
GRMZM2G017164	2.7.11.1
GRMZM2G017305	3.6.4.3
GRMZM2G017555	3.1.1.11
GRMZM2G017578	3.1.26.5
GRMZM2G017789	3.4.19.12
GRMZM2G017792	2.7.11.24
GRMZM2G017982	3.1.3.16
GRMZM2G018177	5.3.1.1
GRMZM2G018238	2.4.2.14
GRMZM2G018241	2.4.1.12
GRMZM2G018508	3.4.19.12
GRMZM2G018566	1.1.1.41
GRMZM2G019029	3.1.4.4
GRMZM2G019090	2.5.1.18
GRMZM2G019404	3.6.3.6
GRMZM2G019450	2.1.1.228
GRMZM2G019597	2.1.1.33
GRMZM2G020142	2.7.7.6
GRMZM2G020216	2.7.11.24
GRMZM2G020295	3.6.1.19
GRMZM2G020523	1.11.1.7
GRMZM2G020801	4.2.1.3
GRMZM2G021044	2.1.1.43
GRMZM2G021069	3.6.4.12
GRMZM2G021270	5.99.1.3
GRMZM2G021331	3.6.3.14
GRMZM2G021517	2.7.11.1
GRMZM2G022192	6.3.5.7
GRMZM2G022828	1.11.1.7
GRMZM2G023080	3.4.25.1
GRMZM2G023194	1.10.2.2
GRMZM2G023239	3.4.19.12
GRMZM2G023289	5.4.2.2
GRMZM2G023667	2.3.1.97
GRMZM2G023840	1.11.1.7
GRMZM2G024104	6.3.1.2
GRMZM2G024131	2.4.1.121
GRMZM2G024234	1.11.1.7
GRMZM2G024437	2.3.1.225
GRMZM2G024476	1.5.99.12
GRMZM2G024686	2.7.2.4
GRMZM2G024738	4.1.1.37
GRMZM2G024993	2.4.1.242
GRMZM2G025182	3.1.1.11
GRMZM2G025190	2.5.1.18
GRMZM2G025231	2.4.1.12
GRMZM2G025441	1.11.1.7
GRMZM2G025592	2.1.1.37
GRMZM2G025833	3.2.1.2
GRMZM2G025977	1.4.3.3
GRMZM2G025992	1.15.1.1
GRMZM2G026024	2.7.1.19
GRMZM2G026182	5.3.1.1
GRMZM2G026930	1.1.1.219
GRMZM2G026980	2.4.1.207
GRMZM2G027043	2.7.7.41
GRMZM2G027217	1.11.1.7
GRMZM2G027307	2.3.1.225
GRMZM2G027385	3.2.1.23
GRMZM2G027627	1.2.4.1
GRMZM2G027673	1.14.19.2
GRMZM2G027723	2.4.1.12
GRMZM2G027835	4.3.3.7
GRMZM2G027860	3.6.3.1
GRMZM2G027955	2.7.7.27
GRMZM2G028132	2.7.7.6
GRMZM2G028179	3.2.2.22
GRMZM2G028219	1.11.1.7
GRMZM2G028307	3.2.1.22
GRMZM2G028353	2.4.1.12
GRMZM2G028556	2.5.1.18
GRMZM2G028700	3.1.3.16
GRMZM2G028733	3.4.19.12
GRMZM2G028812	3.6.3.8
GRMZM2G028821	2.5.1.18
GRMZM2G029048	4.3.1.24
GRMZM2G029144	1.11.1.7
GRMZM2G029479	1.11.1.7
GRMZM2G029519	4.1.99.3
GRMZM2G030305	2.7.11.24
GRMZM2G030784	5.3.1.1
GRMZM2G031107	1.1.1.49
GRMZM2G032282	1.3.3.3
GRMZM2G032409	2.4.99.18
GRMZM2G032628	2.4.1.18
GRMZM2G032699	2.7.4.3
GRMZM2G032856	2.5.1.18
GRMZM2G033208	2.2.1.1
GRMZM2G033219	2.5.1.78
GRMZM2G033375	3.4.19.12
GRMZM2G033515	1.1.1.42
GRMZM2G033526	2.7.1.40
GRMZM2G033694	2.1.1.43
GRMZM2G033829	5.3.4.1
GRMZM2G033894	1.2.4.1
GRMZM2G033985	1.11.1.7
GRMZM2G034143	2.7.1.48
GRMZM2G034152	1.5.3.14;1.5.3.15
GRMZM2G034278	1.5.1.20
GRMZM2G034598	3.2.1.52
GRMZM2G034833	2.3.1.225
GRMZM2G034956	2.5.1.43
GRMZM2G035213	2.1.1.95
GRMZM2G035268	1.2.1.9
GRMZM2G035502	1.8.5.1
GRMZM2G035506	1.11.1.7
GRMZM2G035526	3.4.21.89
GRMZM2G035820	3.1.26.3
GRMZM2G035849	2.3.1.225
GRMZM2G035890	3.2.2.22
GRMZM2G036186	3.4.19.12
GRMZM2G036464	6.3.1.2
GRMZM2G036609	1.4.7.1
GRMZM2G036708	2.5.1.47
GRMZM2G036720	5.2.1.8
GRMZM2G036861	4.2.3.5
GRMZM2G037104	2.3.1.51
GRMZM2G037156	1.11.1.7
GRMZM2G037265	2.4.1.82
GRMZM2G037335	3.6.3.1
GRMZM2G037411	3.1.1.11
GRMZM2G038195	3.1.3.16
GRMZM2G038281	3.2.1.23
GRMZM2G038365	1.10.9.1
GRMZM2G038791	2.7.6.1
GRMZM2G038821	4.1.1.1
GRMZM2G038848	1.2.1.38
GRMZM2G039166	2.1.1.10
GRMZM2G039238	2.1.2.1
GRMZM2G039359	3.1.3.16
GRMZM2G039454	2.4.1.12
GRMZM2G039919	2.4.1.207
GRMZM2G039976	3.2.1.4
GRMZM2G039982	2.8.1.8
GRMZM2G039993	2.1.1.277
GRMZM2G040164	3.4.25.1
GRMZM2G040230	2.3.1.225
GRMZM2G040627	3.2.2.27
GRMZM2G040638	1.11.1.7
GRMZM2G041275	3.6.3.14
GRMZM2G041308	1.11.1.7
GRMZM2G041356	5.1.3.3
GRMZM2G041463	2.7.11.1
GRMZM2G041595	3.6.3.27
GRMZM2G041822	3.1.3.16
GRMZM2G042080	1.15.1.1
GRMZM2G042179	5.1.3.6
GRMZM2G042347	1.11.1.7
GRMZM2G042398	2.1.1.56
GRMZM2G042604	3.4.25.1
GRMZM2G043030	2.3.1.225
GRMZM2G043198	1.2.4.1
GRMZM2G043277	1.14.99.3
GRMZM2G043415	3.1.1.11
GRMZM2G043484	2.1.1.43
GRMZM2G043776	1.3.5.2
GRMZM2G043855	1.11.1.7
GRMZM2G043943	3.1.1.11
GRMZM2G044038	2.7.11.1
GRMZM2G044049	1.11.1.7
GRMZM2G044074	4.1.1.37
GRMZM2G044092	3.2.1.21
GRMZM2G044126	2.3.1.48
GRMZM2G044237	2.3.1.1;2.3.1.35
GRMZM2G044306	2.7.7.6
GRMZM2G044383	2.5.1.18
GRMZM2G045005	2.3.2.13
GRMZM2G045371	3.4.25.1
GRMZM2G046284	4.1.2.13
GRMZM2G046686	2.7.1.1
GRMZM2G046804	1.2.1.12
GRMZM2G047028	2.7.2.3
GRMZM2G047095	4.99.1.1
GRMZM2G047347	2.6.1.42
GRMZM2G047456	1.11.1.7
GRMZM2G047656	1.11.1.7
GRMZM2G047713	3.2.2.22
GRMZM2G047867	2.5.1.16
GRMZM2G047905	1.8.98.2
GRMZM2G047968	1.11.1.7
GRMZM2G048165	3.2.1.4
GRMZM2G048371	4.2.1.11
GRMZM2G048455	2.7.11.24
GRMZM2G048474	1.11.1.7
GRMZM2G048775	1.11.1.7
GRMZM2G048821	2.7.1.21
GRMZM2G049538	3.1.7.6;4.2.3.47;4.2.3.49
GRMZM2G049568	3.4.19.12
GRMZM2G050467	3.4.25.1
GRMZM2G050514	6.3.1.2
GRMZM2G050829	1.11.1.7
GRMZM2G050883	1.11.1.7
GRMZM2G051103	2.7.11.1
GRMZM2G051367	2.4.99.18
GRMZM2G051637	2.7.11.1
GRMZM2G051677	2.7.1.4
GRMZM2G051806	2.7.1.1
GRMZM2G051943	3.2.1.14
GRMZM2G052067	2.7.11.1
GRMZM2G052546	3.1.3.48
GRMZM2G052581	5.99.1.3
GRMZM2G052935	2.7.2.4
GRMZM2G053236	3.4.21.92
GRMZM2G053554	3.2.1.22
GRMZM2G053669	6.3.5.4
GRMZM2G053711	2.7.7.41
GRMZM2G053987	2.7.11.24
GRMZM2G054123	2.5.1.6
GRMZM2G054225	2.7.7.6
GRMZM2G054380	2.1.1.43
GRMZM2G054559	3.1.4.4
GRMZM2G054653	2.5.1.18
GRMZM2G054715	3.6.4.3
GRMZM2G055150	3.1.3.12
GRMZM2G055209	3.6.3.1
GRMZM2G055487	1.11.1.7
GRMZM2G055489	3.1.3.24
GRMZM2G055567	2.7.7.6
GRMZM2G055575	2.7.11.1
GRMZM2G055899	2.6.1.42
GRMZM2G055905	3.1.3.16
GRMZM2G056369	4.1.3.1
GRMZM2G056629	5.1.3.3
GRMZM2G056870	3.4.25.1
GRMZM2G057000	1.3.1.72
GRMZM2G057329	5.2.1.8
GRMZM2G057823	4.1.2.13
GRMZM2G058095	1.1.1.34
GRMZM2G058220	2.7.11.1
GRMZM2G058244	1.1.1.22
GRMZM2G058310	3.2.1.2
